2023/03/14 16:55:55 - Inserted new entry for the first time: (None, 'Unibet', 'Nokere Koerse 2023', 'Colman, Alex', '151.0', '2023/03/14 16:55:54')
2023/03/14 16:55:55 - Inserted new entry for the first time: (None, 'Unibet', 'Nokere Koerse 2023', 'Dainese, Alberto', '19.0', '2023/03/14 16:55:54')
2023/03/14 16:55:55 - Inserted new entry for the first time: (None, 'Unibet', 'Nokere Koerse 2023', 'De Bondt, Dries', '34.0', '2023/03/14 16:55:54')
2023/03/14 16:55:55 - Inserted new entry for the first time: (None, 'Unibet', 'Nokere Koerse 2023', 'de Buyst, Jasper', '67.0', '2023/03/14 16:55:54')
2023/03/14 16:55:55 - Inserted new entry for the first time: (None, 'Unibet', 'Nokere Koerse 2023', 'De Vylder, Lindsay', '401.0', '2023/03/14 16:55:54')
2023/03/14 16:55:55 - Inserted new entry for the first time: (None, 'Unibet', 'Nokere Koerse 2023', 'Devriendt, Tom', '151.0', '2023/03/14 16:55:54')
2023/03/14 16:55:55 - Inserted new entry for the first time: (None, 'Unibet', 'Nokere Koerse 2023', 'Dupont, Timothy', '126.0', '2023/03/14 16:55:54')
2023/03/14 16:55:55 - Inserted new entry for the first time: (None, 'Unibet', 'Nokere Koerse 2023', 'Finé, Eddy', '301.0', '2023/03/14 16:55:54')
2023/03/14 16:55:55 - Inserted new entry for the first time: (None, 'Unibet', 'Nokere Koerse 2023', 'Gate, Aaron', '101.0', '2023/03/14 16:55:54')
2023/03/14 16:55:55 - Inserted new entry for the first time: (None, 'Unibet', 'Nokere Koerse 2023', 'Gibbons, Ryan', '251.0', '2023/03/14 16:55:54')
2023/03/14 16:55:55 - Inserted new entry for the first time: (None, 'Unibet', 'Nokere Koerse 2023', 'Groves, Kaden', '10.0', '2023/03/14 16:55:54')
2023/03/14 16:55:55 - Inserted new entry for the first time: (None, 'Unibet', 'Nokere Koerse 2023', 'Halvorsen, Kristoffer', '34.0', '2023/03/14 16:55:54')
2023/03/14 16:55:55 - Inserted new entry for the first time: (None, 'Unibet', 'Nokere Koerse 2023', 'Kielich, Timo', '401.0', '2023/03/14 16:55:54')
2023/03/14 16:55:55 - Inserted new entry for the first time: (None, 'Unibet', 'Nokere Koerse 2023', 'Laengen, Vegard Stake', '201.0', '2023/03/14 16:55:54')
2023/03/14 16:55:55 - Inserted new entry for the first time: (None, 'Unibet', 'Nokere Koerse 2023', 'Liepins, Emils', '51.0', '2023/03/14 16:55:54')
2023/03/14 16:55:55 - Inserted new entry for the first time: (None, 'Unibet', 'Nokere Koerse 2023', 'Menten, Milan', '17.0', '2023/03/14 16:55:54')
